PROVEEDOR;REF.;COLONIALES;FORMATO;PRECIO/FORMATO
CAFER;70068-V;PTO, FINO/VERDE ITALIANO GG;KG;1.85
CAFER;70069-V;PTO, GORDO VERDE GG;KG;1.2
CAFER;70073-V;REPOLLO;KG;0.65
CAFER;70075-V;SANDIA RALLADA S/P;KG;0.85
CAFER;70077-V;TOMA, MADURO;KG;1.05
CAFER;70078-V;TOMATE;KG;1.25
CAFER;70080-V;TOMATE MADURO PARA GAZPACHO;KG;1.05
CAFER;70083-V;ZANAHORIA;KG;0.95
CAFER;70002-1-V;AJETES VERDES MANOJOS EN BANDEJA;KG;3.6
CAFER;70002-V;AJO PELADO 1 KG;KG;4.1
CAFER;70004-V;AJOS;KG;3.6
CAFER;70067-V;BANANA;KG;1.35
CAFER;70009-V;BERENJENA;KG;1.3
CAFER;70109;BONIATO;KG;1.55
CAFER;70011-V;CALABACIN;KG;1.3
CAFER;70012-V;CALABAZA NARANJA;KG;1.05
CAFER;70014-V;CEBOLLA GRANEL;KG;0.55
CAFER;70021-V;CIRUELAS ROJAS;KG;3.1
CAFER;70029-V;COL HOJA;KG;0.82
CAFER;70024-V;KIWI ;KG;1.65
CAFER;70027-V;LECHUGA BOLSA 2P ROMANA;KG;1.55
CAFER;70028-V;LIMON;KG;1.5
CAFER;70030-V;LOMBARDAS;KG;0.71
CAFER;70085-V;MANDARINA CLEMENTINA 2/3 EXTRA *** FUERA DE TEMPORADA;KG;1.5
CAFER;70084-V;MANDARINACLEMENTINA ECONOMICA  *** FUERA DE TEMPORADA;KG;1.5
CAFER;70033-V;MANZ, R GALA 24 6/7 PZAS KG;KG;1.55
CAFER;70031-V;MANZANA GOLDEN 24;KG;1.15
CAFER;70040-V;MELOCO, AMARILLO 24;KG;1.25
CAFER;70041-V;MELOCO, ROJO 24;KG;1.25
CAFER;70045-V;NARANJA MESA 5/6 EXTRA;KG;1.08
CAFER;70085-1-V;NARANJA ZUMO;KG;0.86
CAFER;70047-V;NECTARINA  24;KG;0
CAFER;70050-V;PATATA LAVADA SIN CALIBRAR;KG;0.6
CAFER;70056-V;PEPINO;KG;0.9
CAFER;70057-V;PERA AGUA 24 6/7 PZAS KG;KG;1.5
CAFER;70060-V;PERA CONFE, 24 5/6 PZAS KG;KG;1.35
CAFER;70070-V;PIMIENTO ROJO;KG;1.2
CAFER;70065-V;PIÑA EXTRA;KG;1.35
CAFER;70066-V;PLATANO;KG;1.35
CAFER;70068-V;PTO, FINO/VERDE ITALIANO GG;KG;1.85
CAFER;70069-V;PTO, GORDO VERDE GG;KG;1.2
CAFER;70073-V;REPOLLO;KG;0.65
CAFER;70075-V;SANDIA RALLADA S/P;KG;0.75
CAFER;70077-V;TOMA, MADURO;KG;1.05
CAFER;70078-V;TOMATE;KG;1.25
CAFER;70080-V;TOMATE MADURO PARA GAZPACHO;KG;1.05
CAFER;10070;CALDO CARNE 1 KG;L;1.99
CAFER;10069;CALDO PESCADO 1 KG;L;1.99
CAFER;10071;CALDO POLLO 1 KG;L;1.99
CAFER;10102;CREMA ESPARRAGOS;L;2.50
CAFER;10105;CREMA PUERROS (VICHYSSOISE);L;2.50
CAFER;10245;SACARINA LIQUIDA 200 ML;L;6.00
CAFER;20017;LECHE DE SOJA 1 L;L;0.62
CAFER;20026;LECHE SIN LACTOSA 1 L;L;0.79
CAFER;10292-CAJA;VINO BLANCO BRIK 1L CAJA 12L;L;0.89
CAFER;10299-CAJA;ZUMO MANZANA 1 L . CAJA 12 L;L;0.54
CAFER;10300-CAJA;ZUMO MELOCOTON 1 L. CAJA 12 L;L;0.54
CAFER;10302-CAJA;ZUMO NARANJA 1 L. CAJA 12 L;L;0.54
CAFER;10304-CAJA;ZUMO PIÑA 1 L. CAJA 12 L;L;0.54
CAFER;10028;ALCAHOFA TROCEADAS 3 KG;KG;0.97
CAFER;10129;GARBANZO COCIDO LATA 3 KG;KG;0.66
CAFER;10143;GUISANTES LATA 3 KG;KG;0.80
CAFER;10167;LENTEJA LATA 3 KG;KG;0.98
CAFER;10502;TOMATE TROCEADO 5 KG;KG;0.58
CAFER;10009;ACEITUNAS NEGRAS;KG;4.95
CAFER;10298;ZANAHORIA RALLADA 3 KG. ;KG;0.66
CAFER;10033;ALUBIA BLANCA LATA 3 KG. L-58L;KG;0.71
CAFER;10083;CHAMPIÑON LAMINADO LATA 3 KG;KG;0.95
CAFER;10115;ESPARRAGO LATA 17-24 L58L;KG;2.70
CAFER;10171;MACEDONIA DE FRUTAS LATA 3 KG L1072;KG;1.22
CAFER;10602;MANZANA GAJOS 3KG;KG;1.23
CAFER;10230;PIMIENTO TIRAS 3 KG. L12039;L;0.99
CAFER;10278;TOMATE FRITO 3 KG. L 1413;L;0.48
CAFER;10280;TOMATE TRITURADO 5 KG;KG;0.44
CAFER;10003;ACEITE GIRASOL 5 L, L;L;0.21
CAFER;10004;ACEITE OLIVA 5 L,  L;L;0.63
CAFER;10005;ACEITE ORUJO 5 L, L;L;0.43
CAFER;20001;CLARA LIQUIDA 1 L;L;1.19
CAFER;10097;CONCENTRADO LIMON 1 LITRO CHAMBO;L;0.36
CAFER;20013;HUEVO LIQUIDO 1L;L;2.59
CAFER;20095;LECHE SEMI ASTURIANA 1 L;L;0.54
CAFER;20037;NATA LIQUIDA 1 L , CAJA 12 L;L;2.59
CAFER;10523;SALSA BECHAMEL;L;4.48
CAFER;10142;HORCHATA;L;0.99
CAFER;10289;VINAGRE 1L;L;0.40
CAFER;10289;VINAGRE GARRAFA 5 LITROS;L;0.40
CAFER;10305;ZUMO TOMATE 1L;L;0.72
CAFER;70064-V;PEREJIL MANOJO;KG;0.00
CAFER;70064-V;PEREJIL MANOJO;KG;0.00
CAFER;70000-V;ACELGAS;KG;5.25
CAFER;70071-V;PUERROS;KG;6.00
CAFER;70000-V;ACELGAS;KG;5.25
CAFER;70071-V;PUERROS;KG;6.00
CAFER;70007-V;APIO;KG;3.75
CAFER;70007-V;APIO;KG;3.75
CAFER;10141;GELATINA SABORES TARRINA PACK. 4;KG;0.13
CAFER;10017;AGUA 1.5 L PACK 6 UDS.;L;0.25
CAFER;20041;DANONINO PETIT SUISSE;L;0.22
CAFER;20040;NATILLAS VAINILLA  CLESA    PACK  2 UDS;L;0.40
